,master_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,segment,interested_in_categories_12
0,0018c6aa-ab6c-11e9-a2fc-000d3a38a36f,127,2.0,317.90999999999997,3,1,2,31,about_to_sleep,[AKTIFCOCUK]
1,00414e84-adc6-11e9-a2fc-000d3a38a36f,121,3.0,303.44,3,2,2,32,about_to_sleep,[ERKEK]
2,007cdfe4-1f54-11ea-87bf-000d3a38a36f,356,8.0,778.88,1,5,4,15,cant_loose,[ERKEK]
3,00c2168c-a875-11e9-a2fc-000d3a38a36f,121,3.0,381.96,3,2,2,32,about_to_sleep,[ERKEK]
4,00f6c98e-abb5-11e9-a2fc-000d3a38a36f,164,12.0,2199.8,2,5,5,25,cant_loose,"[ERKEK, KADIN, AKTIFSPOR]"
5,00f7553c-5bbb-11ea-b88d-000d3a38a36f,175,12.0,1754.27,2,5,5,25,cant_loose,"[AKTIFCOCUK, COCUK]"
6,0179158a-aac8-11e9-a2fc-000d3a38a36f,9,2.0,110.86999999999999,5,1,1,51,new_customers,"[ERKEK, KADIN]"
7,017bd900-a97e-11e9-a2fc-000d3a38a36f,251,8.0,699.9,1,5,4,15,cant_loose,[AKTIFCOCUK]
8,017d86e2-5599-11eb-9e65-000d3a38a36f,135,2.0,154.97,3,1,1,31,about_to_sleep,"[AKTIFCOCUK, KADIN]"
9,01defd1e-a582-11e9-a2fc-000d3a38a36f,245,8.0,1497.5,1,5,5,15,cant_loose,"[AKTIFCOCUK, AKTIFSPOR]"
10,02c605a4-993f-11ea-b97a-000d3a38a36f,114,3.0,282.08000000000004,3,2,1,32,about_to_sleep,"[ERKEK, KADIN, AKTIFSPOR]"
11,02d44576-a596-11e9-a2fc-000d3a38a36f,238,11.0,847.45,1,5,4,15,cant_loose,[COCUK]
12,02d797b2-5b53-11ea-9849-000d3a38a36f,92,3.0,635.37,3,2,3,32,about_to_sleep,"[ERKEK, AKTIFSPOR]"
13,02ddf53a-d683-11e9-93bc-000d3a38a36f,137,3.0,492.46000000000004,3,2,3,32,about_to_sleep,"[ERKEK, KADIN]"
14,034a8960-c855-11ea-8ddc-000d3a38a36f,105,2.0,254.85999999999999,3,1,1,31,about_to_sleep,"[ERKEK, KADIN]"
15,03ba116e-5bc6-11ea-899b-000d3a38a36f,137,2.0,197.28,3,1,1,31,about_to_sleep,[ERKEK]
16,03be6bb2-1f60-11ea-87bf-000d3a38a36f,16,2.0,309.21,5,1,2,51,new_customers,[COCUK]
17,048bbbe4-1cfe-11ea-a490-000d3a38a36f,87,3.0,313.96000000000004,3,2,2,32,about_to_sleep,[AKTIFCOCUK]
18,04901038-a411-11e9-a2fc-000d3a38a36f,110,2.0,430.38,3,1,2,31,about_to_sleep,"[ERKEK, KADIN]"
19,04937794-508e-11ea-99ba-000d3a38a36f,86,3.0,343.95,3,2,2,32,about_to_sleep,"[AKTIFCOCUK, COCUK]"
20,04cd5a8e-41d6-11ea-96d9-000d3a38a36f,146,3.0,180.97,3,2,1,32,about_to_sleep,[AKTIFCOCUK]
21,04f94ad2-49e1-11ea-8a4f-000d3a38a36f,130,3.0,672.04,3,2,4,32,about_to_sleep,"[AKTIFCOCUK, KADIN, AKTIFSPOR]"
22,050b9782-9775-11ea-a9c8-000d3a38a36f,121,3.0,535.06,3,2,3,32,about_to_sleep,"[COCUK, KADIN]"
23,0515c070-9e6c-11e9-9897-000d3a38a36f,169,8.0,1402.27,2,5,5,25,cant_loose,"[ERKEK, KADIN, AKTIFSPOR]"
24,052759d6-73f3-11ea-92d0-000d3a38a36f,146,3.0,601.38,3,2,3,32,about_to_sleep,"[ERKEK, AKTIFSPOR]"
25,05396bb6-a456-11e9-a2fc-000d3a38a36f,28,2.0,537.46,5,1,3,51,new_customers,"[ERKEK, AKTIFSPOR]"
26,055f4316-ab32-11ea-b736-000d3a38a36f,97,2.0,217.45999999999998,3,1,1,31,about_to_sleep,"[AKTIFCOCUK, COCUK, KADIN]"
27,056e803c-a378-11e9-a2fc-000d3a38a36f,208,8.0,1247.87,2,5,5,25,cant_loose,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]"
28,0574ac66-3c96-11ea-b550-000d3a38a36f,20,2.0,248.45999999999998,5,1,1,51,new_customers,[COCUK]
29,05ca4e72-d68f-11e9-93bc-000d3a38a36f,123,3.0,237.97,3,2,1,32,about_to_sleep,"[COCUK, KADIN]"
30,05f83906-9707-11eb-8c2a-000d3a38a36f,28,2.0,229.75,5,1,1,51,new_customers,"[AKTIFCOCUK, COCUK]"
31,05ff5f30-a256-11e9-a2fc-000d3a38a36f,17,2.0,698.15,5,1,4,51,new_customers,"[COCUK, AKTIFSPOR]"
32,062e21a4-9dc8-11e9-9897-000d3a38a36f,238,11.0,1324.28,1,5,5,15,cant_loose,"[AKTIFCOCUK, AKTIFSPOR]"
33,06548210-bd28-11ea-aa61-000d3a38a36f,141,2.0,200.48,3,1,1,31,about_to_sleep,"[ERKEK, COCUK]"
34,06671b06-ac34-11e9-a2fc-000d3a38a36f,156,12.0,1368.8600000000001,2,5,5,25,cant_loose,[ERKEK]
35,06cd8bae-9ebd-11e9-9897-000d3a38a36f,203,15.0,1664.83,2,5,5,25,cant_loose,"[ERKEK, AKTIFSPOR]"
36,06e6bc28-5330-11ea-acd3-000d3a38a36f,136,3.0,229.96999999999997,3,2,1,32,about_to_sleep,[AKTIFCOCUK]
37,07200298-418d-11eb-806e-000d3a38a36f,86,2.0,233.96,3,1,1,31,about_to_sleep,"[AKTIFCOCUK, KADIN]"
38,0754e39e-5eb4-11ea-be5b-000d3a38a36f,110,2.0,427.09000000000003,3,1,2,31,about_to_sleep,"[COCUK, KADIN]"
39,0768a930-ad46-11e9-a2fc-000d3a38a36f,142,2.0,355.94,3,1,2,31,about_to_sleep,[AKTIFCOCUK]
40,07b05898-db08-11ea-a65b-000d3a38a36f,109,3.0,879.94,3,2,4,32,about_to_sleep,"[ERKEK, KADIN, AKTIFSPOR]"
41,081002e8-f26a-11e9-9346-000d3a38a36f,88,3.0,405.93,3,2,2,32,about_to_sleep,[COCUK]
42,087daaba-7189-11eb-a3e2-000d3a38a36f,105,2.0,99.38,3,1,1,31,about_to_sleep,"[ERKEK, KADIN]"
43,08828c30-4bc2-11ea-a626-000d3a38a36f,10,2.0,288.7,5,1,1,51,new_customers,[AKTIFCOCUK]
44,08934cc6-a6e2-11e9-a2fc-000d3a38a36f,142,2.0,569.97,3,1,3,31,about_to_sleep,"[ERKEK, AKTIFSPOR]"
